kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,conversion of chorismate to isochorismate,C,single-source (review),chorismate -> isochorismate,,,1,False,"0.8509 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- results section,"results ( 11 ), largely due to limited understanding of the regulatory mechanisms governing quinone biosynthesis. MK biosynthesis starts from chorismate and proceeds through a seven-enzyme pathway consisting of MenF, MenD, MenH, MenC, MenE, MenB, and MenI to produce DHNA. Subsequently, MenA joins DHNA and prenyl diphosphate to produce demethylmenaquinone (DMK), and MenG demethylates DMK to generate MK ( Fig. 1A ). Strategies have attempted to enhance DHNA supply by overexpressing individual enzymes ( 13 – 17 ) or the entire DHNA biosynthesis operon ( 14 , 18 ). However, these efforts often lead to inconsistent and modest increases in DHNA/MK levels despite upregulated transcription of the respective genes ( 14 , 15 ). Conflicting outcomes have also been reported across different studies; for example, overexpressing MenF or MenD enhanced MK production in some cases but not others ( 13 , 15 – 17 ). These data suggest that a regulatory network might exist to control DHNA and MK levels and buffer against genetic perturbations. While these regulations are physiologically plausible, as microbes must resist quinone overproduction to avoid oxidative stress and growth inhibition ( 4 ), the molecular mechanisms remain elusive. Fig 1 A biosensing system for quantitative detection of DHNA at picomolar concentration. ( A ) Schematic showing the menaquinone biosynthesis pathway. DHNA is the precursor of menaquinone. ( B ) Workflow of the DHNA biosensing system. L. lactis was incubated for 2 hours to allow DHNA synthesis. The cell-free supernatant was collected and mixed with L. plantarum and iron reduction reagents, including iron(III) oxide and ferrozine (FZ). L. plantarum utilizes DHNA secreted by L. lactis to reduce Fe 3+ to Fe 2+ . The resulting Fe 2+ reacts with ferrozine, producing a magenta color product whose absorbance correlates with DHNA concentration. ( C ) Calibration curve of DHNA concentration versus absorbance at 562 nm. L. plantarum was incubated with varying concentrations of exogenous DHNA. The [DHNA]-OD 562 curve was fitted to a non-linear function. The top panel shows a scanned image of the assay plate. ( D ) L. plantarum can detect DHNA secreted from varying cell densities of quinone-producing L. lactis but not from the deficient mutant. Δ menC + menC represents menC gene complementation under a constitutive promoter on a plasmid in the Δ menC background. DHNA concentrations were calculated based on the calibration curve in panel C . The top panel shows a scanned image of the assay plate. All data represent mean ± 1 s.d. for three biological replicates. Bacterial biosensing system detecting DHNA in menaquinone biosynthesis through L. lactis-L. plantarum interaction and iron reduction colorimetry. Calibration shows picomolar sensitivity (R²=0.99) with validation using wild-type and menC mutant strains. Previous studies shed light on the quinone regulatory mechanism, but a system-level understanding has not been achieved. Studies have revealed that MenD can be allosterically inhibited by DHNA in Staphylococcus aureus ( 19 ) and Mycobacterium tuberculosis ( 20 ), suggesting an end-product feedback mechanism. In addition, MenF is also known to be capable of catalyzing both forward and reverse conversion of chorismate to isochorismate ( 21 ). However, it is unclear how these individual mechanisms interact to control DHNA production. Here, we study one of the major quinone producers, Lactococcus lactis, and reveal a multi-layer mechanism regulating DHNA biosynthesis. Leveraging a novel biosensing system, we quantified DHNA concentration at picomolar sensitivity. We then synthetically perturbed enzyme levels on genetic constructs and found that DHNA concentration can be modulated by both MenF and MenD, but to different degrees. A mathematical model uncovers a two-phase regulatory pattern resulting from the interplay of reversible flux and end-product feedback inhibition, where the regulatory roles of MenF and MenD shift based on their relative expression levels. The model also predicts limited availability of the substrate chorismate, which restrains DHNA from being overproduced. These mechanisms can collectively contribute to quinone homeostasis and imply new strategies to efficiently engineer quinone production. RESULTS A biosensing system allows sensitive and quantitative DHNA detection Since DHNA is the common precursor for all MK derivatives, we sought to interrogate the regulatory mechanism of quinone biosynthesis by focusing on DHNA. To precisely measure DHNA concentration, we constructed a L. lactis mutant lacking DHNA-utilizing pathways. We knocked out menA (encodes for DHNA prenyltransferase) to prevent DHNA from being utilized for DMK and MK biosynthesis ( Fig. 1A ). In addition, we knocked out noxAB (encodes for NADH:quinone oxidoreductases) to prevent DHNA from interacting with quinone reductases ( 22 ) , which may otherwise alter DHNA redox state and interfere with DHNA quantification. We next developed a high-throughput method for quantitative DHNA detection. While previous studies mainly measured DHNA concentration with high-performance liquid chromatography (HPLC) ( 23 – 26 ), this approach requires complex sample preparation and purification processes and has a limited detection of 1 µM",,
reaction,/processes/reactions/1,MenD reaction,C,single-source (review),isochorismate -> SEPHCHC,,,1,False,"0.7224 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- methods section,"Materials and Methods). This calibration curve indicates our ability to reliably detect DHNA concentrations within a linear range of 100 pM to 1 µM. To evaluate the biosensor’s ability to detect DHNA secreted by L. lactis , we collected CFS from L. lactis strains with varying cell densities (OD 600 ). These include strains with a wild-type (WT) DHNA pathway, a deficient DHNA pathway (Δ menC ), or a complemented pathway with menC expressed under a constitutive promoter (Δ menC + menC ). The biosensor detected no DHNA from the Δ menC strain ( Fig. 1D ). In comparison, DHNA was detected from strains containing the WT or menC -complemented DHNA pathway, with DHNA concentrations (10–60 nM) proportional to L. lactis cell density (OD 600 = 0.03–2) ( Fig. 1D ). These DHNA concentrations fall in the middle of the linear range of the calibration curve, demonstrating reliable detection. These results confirmed that the biosensing system could specifically and reliably detect DHNA from CFS of L. lactis . We also noticed a trend of DHNA saturation at higher cell densities of L. lactis (OD 600 = 0.5–2.0). To avoid potential inhibition of DHNA biosynthesis at high cell densities, we decided to use L. lactis cultures with an OD 600 of 0.2 for subsequent experiments to explore the regulatory mechanism of DHNA biosynthesis. DHNA biosynthesis exhibits different degrees of sensitivity to MenF or MenD We next sought to use synthetic biology to alter the expression levels of the enzymes and explore their regulatory roles in DHNA biosynthesis. We focused on three enzymes in the DHNA biosynthesis pathway: MenC, MenF, and MenD. The o-succinylbenzoate synthase MenC catalyzes one of the intermediate reactions, whereas the isochorismate synthase MenF and the SEPHCHC synthase MenD catalyze the first and the second reactions, respectively ( Fig. 1A ). In bacteria such as Escherichia coli , MenF’s product isochorismate also participates in siderophore biosynthesis, and MenD is considered the first step solely committed to DHNA biosynthesis ( 30 ). However, L. lactis lacks the pathway for siderophore biosynthesis, and we consider MenF as the first step in L. lactis for DHNA biosynthesis. To perturb the enzyme levels, we used combined transcriptional and translational strategies. For transcriptional regulation, we deleted the respective genes from the L. lactis genome and controlled their expression on a plasmid from a promoter that can be induced by the antimicrobial peptide nisin ( 31 ) ( Fig. 2A ). For translational regulation, we used either strong or weak ribosome binding sites (RBSs) to control the translation initiation rate ( Fig. 2A ). In addition, we fused mCherry to the N-terminal of MenC, MenF, and MenD and measured fluorescent intensity to monitor enzyme expression levels. Notably, menF and menD knockouts were constructed in the Δ menC background. In these cases, menC was expressed on the plasmid under a constitutive promoter, which yielded a DHNA level similar to the wild-type pathway ( Fig. 1D ), ensuring the effects of MenF or MenD on DHNA could be studied without interference. Fig 2 Effects of enzyme level perturbation of MenC, MenF, MenD, and MenFD on DHNA biosynthesis. ( A ) The menC , menF , or menD genes were knocked out from the genome and reintroduced under the control of a nisin-inducible promoter (P nisA ) on a plasmid with either a strong or a weak ribosome-binding site (RBS). mCherry was fused to the N-terminal of each enzyme to monitor enzyme expression. ( B ) Enzyme expression levels with or without nisin induction (25 ng/mL) were quantified by the fluorescent intensity. RFU, relative fluorescent unit. ( C ) DHNA concentrations under varying enzyme expression levels. ( D ) DHNA concentrations from perturbations of mCherry-tagged MenC, MenF, or MenD were compared to those resulting from the untagged enzymes and the wild-type pathway. All genes were expressed under the weak RBS. Varying concentrations of nisin were used to induce different enzyme expression levels. Nisin was also added to the wild-type pathway as a control. ( E ) The menFD genes were knocked out from the genome, and the identical gene cassette was expressed under P nisA with a strong or weak RBS. ( F ) DHNA concentrations under varying MenFD expression levels, with or without nisin induction (25 ng/mL). ( G ) DHNA concentrations resulting from MenFD perturbations were compared to the wild-type pathway. All data represent mean ± 1 s.d. of n = 3 biological replicates. P -values were determined by one-way ANOVA with Tukey’s test. * P inhibition constant), MenF produces sufficient isochorismate, but the reaction flow is constrained by MenD, making MenD the rate-limiting step ( Fig. 3B , below the phase boundary). On the flip side, when MenF level is lower than MenD by the same folds, the insufficient isochorismate production makes MenF the rate-limiting",,
reaction,/processes/reactions/2,MenH reaction,C,single-source (review),SEPHCHC -> SHCHC,,,0,False,"0.6 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,MenC reaction,C,single-source (review),SHCHC -> OSB,,,0,False,"0.6 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/4,MenE reaction,C,single-source (review),OSB -> OSB-CoA,,,0,False,"0.6 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/5,MenB reaction,C,single-source (review),OSB-CoA -> DHNA-CoA,,,0,False,"0.6 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/6,MenI reaction,C,single-source (review),DHNA-CoA -> DHNA,,,0,False,"0.6 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/7,chorismate (A) -> isochorismate (B),C,single-source (review),chorismate (A) -> isochorismate (B),,,1,False,"0.759 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- discussion section,"mM17 + 2.5 µL AFC, or 90 µL mM17. The final concentrations of AFC were 2, 1, or 0 mM, with an initial cell OD 600 = 0.1. The plate was sealed with a transparent PCR plate seal (Axygen), and the OD 600 was monitored using a Byonoy Absorbance 96 plate reader in the anaerobic chamber. Steady-state chemical kinetics analysis Model 1 To elucidate the rate-limiting step in the biosynthesis of DHNA from chorismate in L. lactis , we employed a steady-state modeling approach using Michaelis-Menten kinetics. We simplified notation by assigning capital letters to intermediates in the pathway as follows: A for chorismate, B for isochorismate, C for SEPHCHC, D for SHCHC, E for OSB, F for OSB-CoA, and G for DHNA-CoA. The enzyme MenF catalyzes a reversible reaction converting chorismate (A) to isochorismate (B) ( 43 ), and the isochorismate (B) production rate can be expressed as follows: (2) v B = ( k 2 [ M e n F ] [ A ] K M , 1 F − k − 1 [ M e n F ] [ B ] K M , 2 F ) 1 + [ A ] K M , 1 F + [ B ] K M , 2 F where k 2 and k - 1 are the forward and reverse rate constants for the MenF-catalyzed step, and K M , 1 F , K M , 2 F are the Michaelis constants for chorismate (A) and isochorismate (B), respectively. Subsequently, MenD facilitates the conversion of isochorismate (B) to 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC, C), with DHNA acting as a non-competitive inhibitor ( 19 , 20 ), and the SEPHCHC (C) production rate can be expressed as follows: (3) v C = k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] where k c a t D is the catalytic turnover number for MenD, K M D is the Michaelis constant for isochorismate (B), and K i is the inhibition constant for DHNA. Other enzymes involved, namely, MenH, MenC, MenE, MenB, and MenI, are modeled using Michaelis-Menten kinetics, and their production rates can be expressed as follows: (4) v α = k c a t α [ E n z y m e ] [ S u b s t r a t e ] K M α + [ S u b s t r a t e ] where superscript α = H, C, E, B, and I stands for MenH, MenC, MenE, MenB, and MenI, respectively. For each enzyme, k c a t α [ E n z y m e ] = V m a x α . In the first model, we set the chorismate concentration as a constant. The DHNA diffusion through the membrane occurs at a rate k D H N A . The dynamic equations are as follows: (5) d [ B ] d t = ( k 2 [ M e n F ] [ A ] K M , 1 F − k − 1 [ M e n F ] [ B ] K M , 2 F ) 1 + [ A ] K M , 1 F + [ B ] K M , 2 F − k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] = 0 (6) d [ C ] d t = k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] − k c a t H [ M e n H ] [ C ] K M H + [ C ] = 0 (7) d [ D ] d t = k c a t H [ M e n H ] [ C ] K M H + [ C ] − k c a t C [ M e n C ] [ D ] K M C + [ D ] = 0 (8) d [ E ] d t = k c a t C [ M e n C ] [ D ] K M C + [ D ] − k c a t E [ M e n E ] [ E ] K M E + [ E",,
reaction,/processes/reactions/8,"isochorismate (B) -> 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC, C)",C,single-source (review),"isochorismate (B) -> 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC, C)",,,1,False,"0.759 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- discussion section,"mM17 + 2.5 µL AFC, or 90 µL mM17. The final concentrations of AFC were 2, 1, or 0 mM, with an initial cell OD 600 = 0.1. The plate was sealed with a transparent PCR plate seal (Axygen), and the OD 600 was monitored using a Byonoy Absorbance 96 plate reader in the anaerobic chamber. Steady-state chemical kinetics analysis Model 1 To elucidate the rate-limiting step in the biosynthesis of DHNA from chorismate in L. lactis , we employed a steady-state modeling approach using Michaelis-Menten kinetics. We simplified notation by assigning capital letters to intermediates in the pathway as follows: A for chorismate, B for isochorismate, C for SEPHCHC, D for SHCHC, E for OSB, F for OSB-CoA, and G for DHNA-CoA. The enzyme MenF catalyzes a reversible reaction converting chorismate (A) to isochorismate (B) ( 43 ), and the isochorismate (B) production rate can be expressed as follows: (2) v B = ( k 2 [ M e n F ] [ A ] K M , 1 F − k − 1 [ M e n F ] [ B ] K M , 2 F ) 1 + [ A ] K M , 1 F + [ B ] K M , 2 F where k 2 and k - 1 are the forward and reverse rate constants for the MenF-catalyzed step, and K M , 1 F , K M , 2 F are the Michaelis constants for chorismate (A) and isochorismate (B), respectively. Subsequently, MenD facilitates the conversion of isochorismate (B) to 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC, C), with DHNA acting as a non-competitive inhibitor ( 19 , 20 ), and the SEPHCHC (C) production rate can be expressed as follows: (3) v C = k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] where k c a t D is the catalytic turnover number for MenD, K M D is the Michaelis constant for isochorismate (B), and K i is the inhibition constant for DHNA. Other enzymes involved, namely, MenH, MenC, MenE, MenB, and MenI, are modeled using Michaelis-Menten kinetics, and their production rates can be expressed as follows: (4) v α = k c a t α [ E n z y m e ] [ S u b s t r a t e ] K M α + [ S u b s t r a t e ] where superscript α = H, C, E, B, and I stands for MenH, MenC, MenE, MenB, and MenI, respectively. For each enzyme, k c a t α [ E n z y m e ] = V m a x α . In the first model, we set the chorismate concentration as a constant. The DHNA diffusion through the membrane occurs at a rate k D H N A . The dynamic equations are as follows: (5) d [ B ] d t = ( k 2 [ M e n F ] [ A ] K M , 1 F − k − 1 [ M e n F ] [ B ] K M , 2 F ) 1 + [ A ] K M , 1 F + [ B ] K M , 2 F − k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] = 0 (6) d [ C ] d t = k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] − k c a t H [ M e n H ] [ C ] K M H + [ C ] = 0 (7) d [ D ] d t = k c a t H [ M e n H ] [ C ] K M H + [ C ] − k c a t C [ M e n C ] [ D ] K M C + [ D ] = 0 (8) d [ E ] d t = k c a t C [ M e n C ] [ D ] K M C + [ D ] − k c a t E [ M e n E ] [ E ] K M E + [ E",,
reaction,/processes/reactions/9,SEPHCHC (C) -> D,C,single-source (review),SEPHCHC (C) -> D,,,1,False,"0.759 (heuristic, not a probability)",DHNA biosynthesis (menaquinone precursor) (seed_paper) -- discussion section,"mM17 + 2.5 µL AFC, or 90 µL mM17. The final concentrations of AFC were 2, 1, or 0 mM, with an initial cell OD 600 = 0.1. The plate was sealed with a transparent PCR plate seal (Axygen), and the OD 600 was monitored using a Byonoy Absorbance 96 plate reader in the anaerobic chamber. Steady-state chemical kinetics analysis Model 1 To elucidate the rate-limiting step in the biosynthesis of DHNA from chorismate in L. lactis , we employed a steady-state modeling approach using Michaelis-Menten kinetics. We simplified notation by assigning capital letters to intermediates in the pathway as follows: A for chorismate, B for isochorismate, C for SEPHCHC, D for SHCHC, E for OSB, F for OSB-CoA, and G for DHNA-CoA. The enzyme MenF catalyzes a reversible reaction converting chorismate (A) to isochorismate (B) ( 43 ), and the isochorismate (B) production rate can be expressed as follows: (2) v B = ( k 2 [ M e n F ] [ A ] K M , 1 F − k − 1 [ M e n F ] [ B ] K M , 2 F ) 1 + [ A ] K M , 1 F + [ B ] K M , 2 F where k 2 and k - 1 are the forward and reverse rate constants for the MenF-catalyzed step, and K M , 1 F , K M , 2 F are the Michaelis constants for chorismate (A) and isochorismate (B), respectively. Subsequently, MenD facilitates the conversion of isochorismate (B) to 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC, C), with DHNA acting as a non-competitive inhibitor ( 19 , 20 ), and the SEPHCHC (C) production rate can be expressed as follows: (3) v C = k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] where k c a t D is the catalytic turnover number for MenD, K M D is the Michaelis constant for isochorismate (B), and K i is the inhibition constant for DHNA. Other enzymes involved, namely, MenH, MenC, MenE, MenB, and MenI, are modeled using Michaelis-Menten kinetics, and their production rates can be expressed as follows: (4) v α = k c a t α [ E n z y m e ] [ S u b s t r a t e ] K M α + [ S u b s t r a t e ] where superscript α = H, C, E, B, and I stands for MenH, MenC, MenE, MenB, and MenI, respectively. For each enzyme, k c a t α [ E n z y m e ] = V m a x α . In the first model, we set the chorismate concentration as a constant. The DHNA diffusion through the membrane occurs at a rate k D H N A . The dynamic equations are as follows: (5) d [ B ] d t = ( k 2 [ M e n F ] [ A ] K M , 1 F − k − 1 [ M e n F ] [ B ] K M , 2 F ) 1 + [ A ] K M , 1 F + [ B ] K M , 2 F − k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] = 0 (6) d [ C ] d t = k c a t D [ M e n D ] [ B ] ( 1 + [ D H N A ] K i ) K M D + ( 1 + [ D H N A ] K i ) [ B ] − k c a t H [ M e n H ] [ C ] K M H + [ C ] = 0 (7) d [ D ] d t = k c a t H [ M e n H ] [ C ] K M H + [ C ] − k c a t C [ M e n C ] [ D ] K M C + [ D ] = 0 (8) d [ E ] d t = k c a t C [ M e n C ] [ D ] K M C + [ D ] − k c a t E [ M e n E ] [ E ] K M E + [ E",,
