kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,acylation of UDP-GlcNAc,C,single-source (review),UDP-GlcNAc + β-hydroxyacyl-ACP -> LpxA product,,,1,False,"0.7945 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- body section,"pmc J Biol Chem J Biol Chem 567 jbc The Journal of Biological Chemistry 0021-9258 1083-351X American Society for Biochemistry and Molecular Biology PMC12444477 PMC12444477.1 12444477 12444477 40752575 10.1016/j.jbc.2025.110556 S0021-9258(25)02407-X 110556 1 JBC Reviews The regulation of lipid A biosynthesis Hummels Katherine R. katherine.hummels@uga.edu ∗ Department of Microbiology, University of Georgia, Athens, Georgia, USA ∗ For correspondence: Katherine R. Hummels katherine.hummels@uga.edu 9 2025 31 7 2025 301 9 495267 110556 31 5 2025 24 7 2025 31 07 2025 19 09 2025 19 09 2025 © 2025 The Authors 2025 https://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/). Gram-negative bacteria surround their inner membrane and cell wall with an asymmetric outer membrane which contains lipopolysaccharide (LPS) in its outer leaflet. In addition to serving as a potent permeability barrier, the LPS-rich outer membrane also contributes to the structural integrity of the cell envelope and, thus, the ability to synthesize LPS is essential in most Gram-negative bacteria. Although the cell must make enough LPS to support growth, its biosynthesis must be tightly regulated as overproduction of the acylated disaccharide domain of LPS, lipid A, is deleterious to bacterial viability. The committed enzyme of the lipid A biosynthetic pathway, LpxC, serves as a major regulatory node to control flux through the pathway and ensure that the cell has enough, but not too much, LPS. The regulation of LpxC in the model organism Escherichia coli has been the subject of immense study, which has led to a detailed understanding of the regulation of LPS biogenesis that has served as a paradigm for other organisms. Recent work, however, has revealed diverse mechanisms used by different species to regulate LpxC and highlights that regulation at alternative points in the LPS biosynthetic pathway have the potential to influence LPS production. Here, the discovery and subsequent molecular dissection of the varied strategies used to regulate LPS biosynthesis are reviewed as well as the physiological consequences of LPS dysregulation. Keywords lipopolysaccharide lipid A lipid synthesis cellular regulation outer membrane LpxC cell envelope pmc-status-qastatus 0 pmc-status-live yes pmc-status-embargo no pmc-status-released yes pmc-prop-open-access yes pmc-prop-olf no pmc-prop-manuscript no pmc-prop-legally-suppressed no pmc-prop-has-pdf yes pmc-prop-has-supplement no pmc-prop-pdf-only no pmc-prop-suppress-copyright no pmc-prop-is-real-version no pmc-prop-is-scanned-article no pmc-prop-preprint no pmc-prop-in-epmc yes Abbreviations ACP acyl carrier protein CoA Coenzyme A FAS II type II fatty acid synthesis GPL glycerophospholipid IM inner membrane Kdo 3-deoxy-D-manno-oct-2-ulosonic acid LapB lipopolysaccharide assembly protein B LPS lipopolysaccharide Lpt lipopolysaccharide transport OM outer membrane PG peptidoglycan UDP-GlcNAc uridine diphosphate-N-acetyl-glucosamine Reviewed by members of the JBC Editorial Board. Edited by Chris Whitfield The Gram-negative cell envelope is a complex structure comprised of three concentric layers: an inner membrane (IM) composed of glycerophospholipids (GPLs), a cell wall made up of peptidoglycan (PG), and an asymmetric outer membrane (OM) with GPLs on the inner leaflet and an outer leaflet largely composed of lipopolysaccharide (LPS) ( 1 ). The permeability barrier imposed by this structure, due in large part to the presence of LPS in the OM, is a major driver of intrinsic antibiotic resistance observed in Gram-negative bacteria ( 2 ). LPS is an amphipathic molecule made up of three main structural domains: lipid A, core, and O-antigen. Lipid A is an acylated glucosamine-based disaccharide that anchors LPS in the lipid bilayer and is ligated to a series of outward-facing sugar residues that compose the core and O-antigen domains of LPS ( 3 ). Lipid A along with the first sugar(s) of the core, 3-deoxy-D- manno -oct-2-ulosonic acid (Kdo), collectively called Kdo-lipid A ( Fig. 1 A ), is considered essential in most Gram-negative bacteria and the enzymes responsible for its production are highly conserved ( 4 ). Figure 1 Lipid A biosynthesis. A , chemical structure of Kdo-lipid A from Escherichia coli . B , depiction of the Kdo-lipid A biosynthesis pathway. LpxA, the first enzyme in the lipid A biosynthesis pathway, catalyzes the reversible acylation of UDP-GlcNAc using FAS II-derived β-hydroxyacyl-ACP molecules, metabolic precursors shared with the PG and GPL biosynthetic pathways, respectively. The LpxA product is deacetylated by the committed enzyme in the lipid A biosynthetic pathway, LpxC. Following LpxC catalysis, lipid A production is completed by a series of chemical reactions catalyzed by LpxD, LpxH/I/G, LpxB, LpxK, WaaA, LpxL, and LpxM. See main text for details. LpxC (highlighted in red ) serves as the best characterized regulatory node in the LPS biosynthesis pathway, but other enzymes in the pathway (highlighted in blue ) have also been implicated in controlling the production of LPS. Other relevant enzymes in the PG and FAS II synthesis pathways are presented in gray . Kdo, 3-deoxy-D- manno -oct-2-ulosonic acid; LPS, lipopolysaccharide; GPL, glycerophospholipid; PG, peptidoglycan; UDP-GlcNAc, uridine diphosphate-N-acetyl-glucosamine; ACP, acyl carrier protein; FAS II, type II fatty acid synthesis. Kdo-lipid A is synthesized in the bacterial cytoplasm from a series of",,
reaction,/processes/reactions/1,LpxC reaction,C,single-source (review),LpxA product -> LpxC product,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/2,LpxD reaction,C,single-source (review),LpxC product + β-hydroxyacyl-ACP -> LpxD product,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,LpxH reaction,C,single-source (review),LpxD product -> LpxH product,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/4,LpxB reaction,C,single-source (review),LpxH product -> tetra-acylated disaccharide intermediate,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/5,LpxK reaction,C,single-source (review),tetra-acylated disaccharide intermediate -> lipid IVA,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/6,WaaA reaction,C,single-source (review),lipid IVA + Kdo -> Kdo-lipid IVA,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/7,LpxL reaction,C,single-source (review),Kdo-lipid IVA + β-hydroxyacyl-ACP -> Kdo-lipid A,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/8,removal of UMP,C,single-source (review),LpxC product -> UMP,,,1,False,"0.9455 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- body section,"FAS II-derived β-hydroxyacyl-ACP molecules, metabolic precursors shared with the PG and GPL biosynthetic pathways, respectively. The LpxA product is deacetylated by the committed enzyme in the lipid A biosynthetic pathway, LpxC. Following LpxC catalysis, lipid A production is completed by a series of chemical reactions catalyzed by LpxD, LpxH/I/G, LpxB, LpxK, WaaA, LpxL, and LpxM. See main text for details. LpxC (highlighted in red ) serves as the best characterized regulatory node in the LPS biosynthesis pathway, but other enzymes in the pathway (highlighted in blue ) have also been implicated in controlling the production of LPS. Other relevant enzymes in the PG and FAS II synthesis pathways are presented in gray . Kdo, 3-deoxy-D- manno -oct-2-ulosonic acid; LPS, lipopolysaccharide; GPL, glycerophospholipid; PG, peptidoglycan; UDP-GlcNAc, uridine diphosphate-N-acetyl-glucosamine; ACP, acyl carrier protein; FAS II, type II fatty acid synthesis. Kdo-lipid A is synthesized in the bacterial cytoplasm from a series of catalytic reactions that make up the Raetz pathway, named after Christian Raetz whose group pioneered the identification and characterization of the nine enzymes that make up the pathway (reviewed in ( 3 , 5 , 6 ) ( Fig. 1 B ). The first enzyme in the Raetz pathway, LpxA, acylates uridine diphosphate- N -acetyl-glucosamine (UDP-GlcNAc) using a β-hydroxyacyl-acyl carrier protein (ACP) substrate made by the type II fatty acid synthesis pathway (FAS II) ( 7 ). The reaction catalyzed by LpxA is thermodynamically unfavorable, and it is the second enzyme in the pathway, LpxC, that catalyzes the first irreversible and committed step in lipid A biosynthesis ( 8 , 9 ). LpxC is a deacetylase that removes the acetyl group from the GlcNAc moiety to allow for the addition of the next acyl group by LpxD and subsequent removal of UMP by LpxH, LpxI, or LpxG depending on the organism ( Fig. 1 B ) ( 10 , 11 , 12 , 13 ). LpxB then catalyzes the formation of a tetra-acylated disaccharide intermediate, which is phosphorylated by LpxK to produce lipid IV A ( 14 , 15 ) ( Fig. 1 B ). Next, WaaA adds a number of Kdo residues that depends on the organism to form the first sugar(s) of the core, resulting in Kdo-lipid IV A which is sequentially acylated by LpxL and LpxM to finally form Kdo-lipid A ( 16 , 17 , 18 ) ( Fig. 1 B ). The nine steps in the Raetz pathway as well as the subsequent addition of the core sugars are catalyzed in the cytoplasm or the cytoplasmic leaflet of the IM, but the resulting core-lipid A must ultimately be transported to the OM. Transport is achieved in two steps. In the first, core-lipid A is flipped from the cytoplasmic leaflet to the periplasmic leaflet of the IM by the flippase MsbA (reviewed in ( 19 )). Once facing the periplasm, O-antigen can be ligated onto core-lipid A prior to its transport to the OM by the lipopolysaccharide transport (Lpt) system (reviewed in ( 20 )). The synthesis of lipid A and its subsequent assembly into the OM have long-been viewed as ideal targets for antibiotics, as it is essential and unique to Gram-negative bacteria. From numerous drug discovery endeavors, small molecules that inhibit the Raetz pathway enzymes and LPS transporters have been identified, a subset of which have progressed to clinical trials ( 21 , 22 ). The physiological consequences associated with impaired LPS synthesis and assembly are vast, consistent with the essentiality of LPS. Intriguingly, overproduction of LPS",,
reaction,/processes/reactions/9,formation of a tetra-acylated disaccharide intermediate,C,single-source (review),LpxC product -> tetra-acylated disaccharide intermediate,,,1,False,"0.9455 (heuristic, not a probability)",lipid A biosynthesis (seed_paper) -- body section,"FAS II-derived β-hydroxyacyl-ACP molecules, metabolic precursors shared with the PG and GPL biosynthetic pathways, respectively. The LpxA product is deacetylated by the committed enzyme in the lipid A biosynthetic pathway, LpxC. Following LpxC catalysis, lipid A production is completed by a series of chemical reactions catalyzed by LpxD, LpxH/I/G, LpxB, LpxK, WaaA, LpxL, and LpxM. See main text for details. LpxC (highlighted in red ) serves as the best characterized regulatory node in the LPS biosynthesis pathway, but other enzymes in the pathway (highlighted in blue ) have also been implicated in controlling the production of LPS. Other relevant enzymes in the PG and FAS II synthesis pathways are presented in gray . Kdo, 3-deoxy-D- manno -oct-2-ulosonic acid; LPS, lipopolysaccharide; GPL, glycerophospholipid; PG, peptidoglycan; UDP-GlcNAc, uridine diphosphate-N-acetyl-glucosamine; ACP, acyl carrier protein; FAS II, type II fatty acid synthesis. Kdo-lipid A is synthesized in the bacterial cytoplasm from a series of catalytic reactions that make up the Raetz pathway, named after Christian Raetz whose group pioneered the identification and characterization of the nine enzymes that make up the pathway (reviewed in ( 3 , 5 , 6 ) ( Fig. 1 B ). The first enzyme in the Raetz pathway, LpxA, acylates uridine diphosphate- N -acetyl-glucosamine (UDP-GlcNAc) using a β-hydroxyacyl-acyl carrier protein (ACP) substrate made by the type II fatty acid synthesis pathway (FAS II) ( 7 ). The reaction catalyzed by LpxA is thermodynamically unfavorable, and it is the second enzyme in the pathway, LpxC, that catalyzes the first irreversible and committed step in lipid A biosynthesis ( 8 , 9 ). LpxC is a deacetylase that removes the acetyl group from the GlcNAc moiety to allow for the addition of the next acyl group by LpxD and subsequent removal of UMP by LpxH, LpxI, or LpxG depending on the organism ( Fig. 1 B ) ( 10 , 11 , 12 , 13 ). LpxB then catalyzes the formation of a tetra-acylated disaccharide intermediate, which is phosphorylated by LpxK to produce lipid IV A ( 14 , 15 ) ( Fig. 1 B ). Next, WaaA adds a number of Kdo residues that depends on the organism to form the first sugar(s) of the core, resulting in Kdo-lipid IV A which is sequentially acylated by LpxL and LpxM to finally form Kdo-lipid A ( 16 , 17 , 18 ) ( Fig. 1 B ). The nine steps in the Raetz pathway as well as the subsequent addition of the core sugars are catalyzed in the cytoplasm or the cytoplasmic leaflet of the IM, but the resulting core-lipid A must ultimately be transported to the OM. Transport is achieved in two steps. In the first, core-lipid A is flipped from the cytoplasmic leaflet to the periplasmic leaflet of the IM by the flippase MsbA (reviewed in ( 19 )). Once facing the periplasm, O-antigen can be ligated onto core-lipid A prior to its transport to the OM by the lipopolysaccharide transport (Lpt) system (reviewed in ( 20 )). The synthesis of lipid A and its subsequent assembly into the OM have long-been viewed as ideal targets for antibiotics, as it is essential and unique to Gram-negative bacteria. From numerous drug discovery endeavors, small molecules that inhibit the Raetz pathway enzymes and LPS transporters have been identified, a subset of which have progressed to clinical trials ( 21 , 22 ). The physiological consequences associated with impaired LPS synthesis and assembly are vast, consistent with the essentiality of LPS. Intriguingly, overproduction of LPS",,
