kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,LpxA reaction,C,single-source (review),UDP-GlcNAc + β-hydroxyacyl-ACP -> UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/1,LpxC reaction,C,single-source (review),UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine -> UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/2,LpxD reaction,C,single-source (review),"UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine + β-hydroxyacyl-ACP -> UDP-2,3-diacylglucosamine",,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,LpxH reaction,C,single-source (review),"UDP-2,3-diacylglucosamine -> 2,3-diacylglucosamine-1-phosphate",,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/4,LpxB reaction,C,single-source (review),"2,3-diacylglucosamine-1-phosphate -> tetra-acylated disaccharide",,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/5,LpxK reaction,C,single-source (review),tetra-acylated disaccharide -> lipid IV_A,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/6,WaaA reaction,C,single-source (review),lipid IV_A + Kdo -> Kdo-lipid IV_A,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/7,LpxL reaction,C,single-source (review),Kdo-lipid IV_A + acyl-ACP -> Kdo-lipid A,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/8,LpxM reaction,C,single-source (review),Kdo-lipid A + acyl-ACP -> Kdo-lipid A,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/0,"2,3-diacylglucosamine-1-phosphate",C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/1,β-hydroxyacyl-ACP,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/2,Kdo-lipid A,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/3,Kdo-lipid IV_A,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/4,UDP-GlcNAc,A,DB-grounded,,196,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/5,lipid IV_A,A,DB-grounded,,40982,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/6,Kdo,A,DB-grounded,,57926,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/7,acyl-ACP,A,DB-grounded,,96973,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/8,tetra-acylated disaccharide,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/9,"UDP-2,3-diacylglucosamine",C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/10,UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/11,UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/0,LpxA,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/0 | (no code)@/entities/proteins/0,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/1,LpxB,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/1 | (no code)@/entities/proteins/1,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/2,LpxC,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/2 | (no code)@/entities/proteins/2,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/3,LpxD,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/3 | (no code)@/entities/proteins/3,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/4,LpxH,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/4 | (no code)@/entities/proteins/4,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/5,LpxK,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/5 | (no code)@/entities/proteins/5,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/6,LpxL,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/6 | (no code)@/entities/proteins/6,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/7,LpxM,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/7 | (no code)@/entities/proteins/7,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/8,WaaA,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,(no code)@/entities/proteins/8 | (no code)@/entities/proteins/8,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/0/enzymes/0,LpxA,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/1/enzymes/0,LpxC,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/2/enzymes/0,LpxD,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/3/enzymes/0,LpxH,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/4/enzymes/0,LpxB,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/5/enzymes/0,LpxK,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/6/enzymes/0,WaaA,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/7/enzymes/0,LpxL,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/8/enzymes/0,LpxM,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
