kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,EntC reaction,C,single-source (review),chorismate -> isochorismate,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/1,EntB reaction,C,single-source (review),"isochorismate -> 2,3-dihydro-2,3-dihydroxybenzoate",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/2,EntE reaction,C,single-source (review),"2,3-dihydro-2,3-dihydroxybenzoate -> DHB-AMP",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,Enterobactin synthase complex reaction,C,single-source (review),DHB-AMP -> enterobactin,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/0,"2,3-dihydro-2,3-dihydroxybenzoate",C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/1,DHB-AMP,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/2,isochorismate,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/3,chorismate,A,DB-grounded,,7748,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/4,enterobactin,A,DB-grounded,,40793,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/0,EntB,A,DB-grounded,,P0ADI4,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/1,EntC,A,DB-grounded,,P0AEJ2,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/2,EntE,A,DB-grounded,,P10378,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/protein_complexes/0,enterobactin synthase complex,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,(no code)@/entities/protein_complexes/0 | (no code)@/entities/protein_complexes/0/components/0 | (no code)@/entities/protein_complexes/0 | (no code)@/entities/protein_complexes/0/components/0,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/0/enzymes/0,EntC,A,DB-grounded,,P0AEJ2,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/1/enzymes/0,EntB,A,DB-grounded,,P0ADI4,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/2/enzymes/0,EntE,A,DB-grounded,,P10378,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/3/enzymes/0,enterobactin synthase complex,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
