table_name,ordinal_position,column_name,data_type,is_nullable,column_key,extra
biological_states,1,id,int,NO,PRI,auto_increment
biological_states,2,tissue_id,int,YES,MUL,
biological_states,3,subcellular_location_id,int,YES,MUL,
biological_states,4,created_at,datetime,YES,,
biological_states,5,updated_at,datetime,YES,,
biological_states,6,species_id,int,YES,MUL,
biological_states,7,cell_type_id,int,YES,MUL,
biological_states,8,user_id,int,NO,,
biological_states,9,pwbs_id,varchar,YES,,
bound_compound_visualizations,1,id,int,NO,PRI,auto_increment
bound_compound_visualizations,2,bound_visualization_id,int,YES,MUL,
bound_compound_visualizations,3,compound_location_id,int,YES,MUL,
bound_compound_visualizations,4,edge_id,int,YES,MUL,
bound_compound_visualizations,5,created_at,datetime,NO,,
bound_compound_visualizations,6,updated_at,datetime,NO,,
bound_element_collection_visualizations,1,id,int,NO,PRI,auto_increment
bound_element_collection_visualizations,2,bound_visualization_id,int,YES,MUL,
bound_element_collection_visualizations,3,element_collection_location_id,int,YES,MUL,
bound_element_collection_visualizations,4,edge_id,int,YES,MUL,
bound_element_collection_visualizations,5,created_at,datetime,NO,,
bound_element_collection_visualizations,6,updated_at,datetime,NO,,
bound_nucleic_acid_visualizations,1,id,int,NO,PRI,auto_increment
bound_nucleic_acid_visualizations,2,bound_visualization_id,int,YES,MUL,
bound_nucleic_acid_visualizations,3,nucleic_acid_location_id,int,YES,MUL,
bound_nucleic_acid_visualizations,4,edge_id,int,YES,MUL,
bound_nucleic_acid_visualizations,5,created_at,datetime,NO,,
bound_nucleic_acid_visualizations,6,updated_at,datetime,NO,,
bound_protein_complex_visualizations,1,id,int,NO,PRI,auto_increment
bound_protein_complex_visualizations,2,bound_visualization_id,int,YES,MUL,
bound_protein_complex_visualizations,3,protein_complex_visualization_id,int,YES,MUL,
bound_protein_complex_visualizations,4,edge_id,int,YES,MUL,
bound_protein_complex_visualizations,5,created_at,datetime,NO,,
bound_protein_complex_visualizations,6,updated_at,datetime,NO,,
bound_visualizations,1,id,int,NO,PRI,auto_increment
bound_visualizations,2,bound_id,int,YES,MUL,
