table_name,table_rows
biological_states,13583
bound_compound_visualizations,1330
bound_element_collection_visualizations,464
bound_nucleic_acid_visualizations,107
bound_protein_complex_visualizations,3222
bound_visualizations,2249
compounds,234631
compound_locations,12449997
contexts,801
context_elements,3834
drawable_element_locations,1681319
element_collection_locations,99872
element_states,291600
interaction_bound_visualizations,2073
interaction_compound_visualizations,8191
interaction_element_collection_visualizations,1791
interaction_nucleic_acid_visualizations,3411
interaction_protein_complex_visualizations,29201
interaction_visualizations,23587
label_locations,2666799
membrane_visualizations,1839351
nucleic_acid_locations,10953
pathways,534962
pathway_elements,3906540
pathway_sub_categories,1086
pathway_visualizations,520964
pathway_visualization_contexts,561535
proteins,160521
protein_complexes,441619
protein_complex_cofactors,63783
protein_complex_compound_visualizations,78850
protein_complex_proteins,465629
protein_complex_protein_modifications,112
protein_complex_protein_visualizations,3909848
protein_complex_visualizations,3972599
protein_locations,3942405
protein_mappings,2838375
reactions,974616
reaction_bound_visualizations,1809
reaction_compound_visualizations,14910054
reaction_coupled_transports,30861
reaction_coupled_transport_bound_visualizations,0
reaction_coupled_transport_compound_visualizations,73860
reaction_coupled_transport_elements,160884
reaction_coupled_transport_element_collection_visualizations,457
reaction_coupled_transport_enzymes,25932
reaction_coupled_transport_enzyme_visualizations,12488
reaction_coupled_transport_nucleic_acid_visualizations,0
reaction_coupled_transport_protein_complex_visualizations,9046
reaction_coupled_transport_visualizations,13978
reaction_elements,3930553
reaction_element_collection_visualizations,110198
reaction_enzymes,1009434
reaction_enzyme_visualizations,3204396
reaction_nucleic_acid_visualizations,20147
reaction_protein_complex_visualizations,20215
reaction_visualizations,3120409
species,3741
subcellular_locations,77
sub_pathways,520615
sub_pathway_bound_visualizations,24
sub_pathway_compound_visualizations,507369
sub_pathway_elements,577578
sub_pathway_element_collection_visualizations,1552
sub_pathway_nucleic_acid_visualizations,50
sub_pathway_protein_complex_visualizations,4149
sub_pathway_visualizations,550235
super_pathway_visualizations,484772
super_pathway_visualization_links,364
transports,77130
transport_bound_visualizations,178
transport_compound_visualizations,837493
transport_elements,110411
transport_element_collection_visualizations,660
transport_nucleic_acid_visualizations,164
transport_protein_complex_visualizations,3731
transport_transporters,54453
transport_transporter_visualizations,51835
transport_visualizations,397617
vacuous_compound_visualizations,8090
vacuous_edge_visualizations,122203
vacuous_element_collection_visualizations,777
vacuous_nucleic_acid_visualizations,1155
vacuous_protein_visualizations,2883
visualization_templates,250
zoom_visualizations,617414
