id,element_id,element_type,relationship_type,context_id
1,791,Protein,Mutated,1
2,37,Compound,Increased,1
3,54,Compound,Increased,1
4,1958,Protein,Mutated,2
5,546,Compound,Increased,2
64,9,Protein,Mutated,23
65,1063,Compound,Increased,23
66,920,Protein,Mutated,24
67,602,Compound,Increased,24
68,350,Compound,Increased,24
81,920,Protein,Mutated,31
83,602,Compound,Increased,31
84,920,Protein,Mutated,32
85,400,Compound,Increased,32
88,920,Protein,Mutated,33
89,400,Compound,Increased,33
92,243,Protein,Mutated,34
93,71,Compound,Increased,34
94,736,Protein,Mutated,35
96,182,Compound,Increased,35
